id,question,answer,source,type,num_tokens,perturbed_answers,paraphrased_answer,paraphrased_question
w1f1,What nationality was Benedetto Varchi?,Italian,wpu,forget_1,47,"['French', 'Spanish', 'German', 'Austrian', 'Swiss']",Italy,Which country was Benedetto Varchi from?
w1f2,What professions did Benedetto Varchi have?,"Humanist, historian, poet",wpu,forget_1,53,"['Philosopher, philologist, playwright', 'Orator, theologian, essayist', 'Poet, historian, linguist', 'Jurist, humanist, writer', 'Scholar, critic, translator']","Humanism, history, poetry",What were the professions of Benedetto Varchi?
w1f3,Where was Benedetto Varchi born?,Florence,wpu,forget_1,48,"['Rome', 'Venice', 'Milan', 'Naples', 'Bologna']","Florence, Italy",In which city was Benedetto Varchi born?
w1f4,Who commissioned Benedetto Varchi to write a history of Florence?,Cosimo I,wpu,forget_1,54,"['Lorenzo de' Medici', 'Alessandro de' Medici', 'Pope Clement VII', 'Ferdinando I', 'Cosimo de' Medici (the Elder)']",Cosimo one,Which ruler asked Benedetto Varchi to document the history of Florence?
w1f5,When was Varchi's Storia fiorentina first published in Florence?,1721,wpu,forget_1,55,"['1719', '1720', '1722', '1723', '1724']",1721,In what year was the Storia fiorentina by Benedetto Varchi published in Florence?
w1f6,Which work of Ezra Pound mentions Benedetto Varchi?,The Cantos,wpu,forget_1,52,"['Hugh Selwyn Mauberley', 'Personae', 'Cathay', 'ABC of Reading', 'The Spirit of Romance']",The Cantos,In which of Ezra Pound's works is Benedetto Varchi referenced?
w1f7,What was the main topic of Benedetto Varchi's Storia fiorentina?,The history of Florence from 1527 to 1538,wpu,forget_1,67,"['Paleography', 'Ancient history', 'Classics', 'Archaeology', 'History of religion']",History of Florence between 1527 and 1538,What period does Benedetto Varchi's Storia fiorentina cover?
w2f1,What nationality was Wilhelm Wattenbach?,German,wpu,forget_1,46,"['Italian', 'French', 'Spanish', 'Austrian', 'Swiss']",Germany,What was Wilhelm Wattenbach's country of origin?
w2f2,In which field did Wilhelm Wattenbach specialize?,History,wpu,forget_1,48,"['Philology', 'Historiography', 'Classics', 'Archaeology', 'Medieval studies']",Historian,What was Wilhelm Wattenbach's area of expertise?
w2f3,What position did Wilhelm Wattenbach hold at Berlin?,Professor of history,wpu,forget_1,51,"['Professor of philology', 'Professor of classics', 'Professor of medieval war', 'Chair of historiography', 'Lecturer in science']",history professor,What was Wilhelm Wattenbach's role at the University of Berlin?
w3f1,In which country did Elsa Triolet settle after emigrating from Russia?,France,wpu,forget_1,53,"['Belgium', 'Switzerland', 'Germany', 'Czechoslovakia', 'Italy']",French,To which nation did Elsa Triolet relocate following her departure from Russia?
w3f2,Who did Elsa Triolet meet in 1928 that she would later marry?,Louis Aragon,wpu,forget_1,56,"['Paul Ãluard', 'Andra Breton', 'Jean Cocteau', 'Rena Char', 'Louis-Ferdinand Celine']",He is Louis Aragon,What is the name of the person Elsa Triolet encountered in 1928 and subsequently married?
w3f3,In which movement did Elsa Triolet participate during World War II?,French Resistance,wpu,forget_1,52,"['Free French', 'Maquis', 'French Communist Party', 'Surrealist movement', 'Resistance intarieure']",The French Resistance,What was the name of the movement Elsa Triolet was involved in during the Second World War?
w3f4,Which poet's work did Elsa Triolet first translate into French?,Vladimir Mayakovsky,wpu,forget_1,56,"['Alexander Blok', 'Sergei Yesenin', 'Marina Tsvetaeva', 'Anna Akhmatova', 'Boris Pasternak']",He is Valdimir Mayakovsky,Whose poetry did Elsa Triolet initially render into French?
w3f5,What nationality did Elsa Triolet adopt after moving from Russia?,French,wpu,forget_1,50,"['Italian', 'Spanish', 'German', 'Austrian', 'Swiss']",France,Which country's citizenship did Elsa Triolet assume after emigrating?
w4f1,Where was Theopompus born?,Chios,wpu,forget_1,47,"['Lesbos', 'Samos', 'Rhodes', 'Kos', 'Euboea']",Chios,Which place is the birthplace of Theopompus?
w4f2,What significant career path did Isocrates advise Theopompus to pursue?,Historian,wpu,forget_1,54,"['Philosopher', 'Philologist', 'Playwright', 'Orator', 'Theologian']",History,Which profession did Isocrates recommend to Theopompus?
w4f3,Where did Theopompus take refuge after Alexander's death?,"Egypt, with Ptolemy",wpu,forget_1,57,"['Rhodes, with Demetrius', 'Athens, with Demetrius', 'Babylon, under Seleucus', 'Macedonia, with Cassander', 'Cyrene, with Ptolemy']",To Ptolemy in Egypt,To whom and where did Theopompus flee following the demise of Alexander?
w4f4,Who severely censured Philip for his behavior in Theopompus's writings?,Theopompus,wpu,forget_1,58,"['Demosthenes', 'Aeschines', 'Isocrates', 'Diodorus Siculus', 'Polybius']",The Theopompus,Which historian criticized Philip's lifestyle and actions?
w5f1,Which major thinker influenced Heinrich August Ritter's thinking?,Friedrich Schleiermacher,wpu,forget_1,57,"['Wilhelm Dilthey', 'Karl Bath', 'Hans Georg Gadamer', 'Karl wilheim Freidhrich Schlegel', ' Novalis' ]",The Friedrich Schleiermacher,Who was a significant influence on the philosophical thought of Heinrich August Ritter?
w5f2,What was the focus of Heinrich August Ritter's work 'Abriss der philosophischen Logik' published in 1824?,Philosophical logic,wpu,forget_1,68,"['Medieval philosophy', 'Metaphysics', 'Ethics', 'Epistemology', 'History of religion']",logic of philosohpy,What subject did 'Abriss der philosophischen Logik' by Heinrich August Ritter deal with?
w5f3,What was the subject of 'Die christliche Philosophie bis auf die neuesten Zeiten' by Heinrich August Ritter?,Christian philosophy,wpu,forget_1,66,"['Medieval philosophy', 'Muslim philosophy', 'Hinduism', 'Budhism', 'History of religion']",Philosophy of christianity,What does Heinrich August Ritter's work 'Die christliche Philosophie bis auf die neuesten Zeiten' cover?
w5f4,What does 'Ueber das Böse und seine Folgen' by Heinrich August Ritter discuss?,Evil and its consequences,wpu,forget_1,65,"['Science fiction', 'History of religion', 'Metaphysics', 'Ethics', 'Epistemology']",Evil and its consequences,What is the theme of 'Ueber das Böse und seine Folgen' written by Heinrich August Ritter?
w6f1,What professions did Adrienne Monnier pursue?,"Bookseller, writer, publisher",wpu,forget_1,52,"['Philosopher, philologist, playwright', 'Orator, theologian, essayist', 'Poet, historian, linguist', 'Jurist, humanist, writer', 'Scholar, critic, translator']","publisher, bookseller, author",What were Adrienne Monnier's occupations?
w6f2,What era is Adrienne Monnier known to have been an influential figure in?,1920s and 1930s,wpu,forget_1,61,"['1910s and 1920s', '1930s and 1940s', '1920s', '1930s', 'Interwar years']",between 1920s and 1930s,During which decades was Adrienne Monnier a prominent figure?
w6f3,Where was Adrienne Monnier born?,Paris,wpu,forget_1,46,"['London', 'Berlin', 'Vienna', 'Prague', 'Budapest']",Paris,In which city was Adrienne Monnier born?
w6f4,What notable English language bookstore was inspired by Adrienne Monnier?,Shakespeare and Company,wpu,forget_1,54,"['City lights', 'The Strand', 'Libreria Acqua Alta', 'Powells', 'Atlantis Books']",Shakespeare and Company,Which English language bookstore was influenced by Adrienne Monnier's example?
w7f1,What is Ann Brashares known for?,The Sisterhood of the Traveling Pants series.,wpu,forget_1,56,"['Sisterhood Everlasting', 'Harry Potter', 'The Hunger Games', 'Our fault in the stars', 'Game of Thrones'] ",The series is The Sisterhood of the Traveling Pants,For what series is Ann Brashares best recognized?
w7f2,What genre does Ann Brashares primarily write in?,Young adult,wpu,forget_1,50,"['Fiction', ' Thriller', 'Action', 'Drama', 'Coming of Age']",Young adults,Which literary genre is Ann Brashares most associated with?
w7f3,Where does Ann Brashares reside?,New York City,wpu,forget_1,48,"['Paris', 'London', 'Berlin', 'Vienna', 'Prague']",New york,What is the current residence of Ann Brashares?
w8f1,What was Hartmann von Aue's nationality?,German,wpu,forget_1,48,"['Italian', 'French', 'Spanish', 'Austrian', 'Swiss']",Germany,Which country did Hartmann von Aue hail from?
w8f2,Name one of Hartmann von Aue's works.,Erec,wpu,forget_1,50,"['Parzival', 'Tristan', 'Nibelungenlied', 'Erec et Enide', 'Der Reinmar']",Erec,Can you mention a piece written by Hartmann von Aue?
w8f3,In which crusade did Hartmann von Aue participate?,The Crusade of 1197,wpu,forget_1,56,"['Barons Crusade', 'The crusade of 1101', 'Alexandrian crusade', 'Bosnian Crusade', 'Sixth crusade']",The crusade of 1197,What military campaign was Hartmann von Aue involved in?
w8f4,What was Hartmann von Aue's profession aside from being a poet?,Knight,wpu,forget_1,53,"['Soldier', 'Peasant', 'Minister', 'High priest', 'Oracle']",the Knight,"Apart from writing, what was Hartmann von Aue's occupation?"
w8f5,What was the societal rank of Hartmann von Aue?,Lower nobility,wpu,forget_1,52,"['duke', 'viscount', 'Marquess', 'earl', 'high priest']",Lower nobility,What was Hartmann von Aue's status in the nobility?
w9f2,In what country was Jorge Semprún Maura born?,Spain,wpu,forget_1,50,"['10-Dec-24', '11-Dec-23', '9-Dec-23', '10-Dec-22', '12-Dec-23']",december 10th 1923,What is the birthdate of Jorge Semprún Maura?
w9f3,What role did Jorge Semprún Maura hold in Spain's government after the dictatorship of Francisco Franco?,Minister of Culture,wpu,forget_1,62,"['Croatia', 'Slovenia', 'Norway', 'Germany', 'Hungary']",Spanish,Where was Jorge Semprún Maura originally from?
w9f4,What is the name of the concentration camp where Jorge Semprún was deported during World War II?,Buchenwald,wpu,forget_1,60,"['Minister of Defence', 'Minister of Education', 'Minister of Commerce', 'Secretariat', 'Prime Minister']",Culture Minister,What position did Jorge Semprún serve in within Spain's socialist government?
w9f5,Where did Jorge Semprún live most of his life?,France,wpu,forget_1,50,"['Sachsenhausen', 'Dachau', 'Mauthausen', 'Auschwitz', 'Ravensbrack']",Buchenwald,To which concentration camp was Jorge Semprún sent during the Nazi occupation of France?
w9f6,In what language did Jorge Semprún primarily write?,French,wpu,forget_1,49,"['Croatia', 'Slovenia', 'Norway', 'Germany', 'Hungary']",France,In which country did Jorge Semprún reside for the majority of his life?
w10f1,What nationality was Giovanni Battista Casti?,Italian,wpu,forget_1,47,"['Italian', 'Basque', 'Portuguese', 'German', 'Spanish']",French,What was the primary language used by Jorge Semprún in his writing?
w10f2,What type of studies did Giovanni Battista Casti pursue before entering priesthood?,He studied at the seminary of Montefiascone,wpu,forget_1,63,"['French', 'Spanish', 'German', 'Austrian', 'Swiss']",Italy,Which country was Giovanni Battista Casti from?
w10f3,What position did Giovanni Battista Casti hold in his native place?,He became a canon in the cathedral of his native place,wpu,forget_1,62,"['Pontifical Roman Major Seminary', ' Episcopal Seminary of Fiesole', 'Pontificio Collegio Beda', 'Archiepiscopal Seminary of Milan', 'Pontifical Collegio Filippino']",Seminary of the Montefiascone,What education did Giovanni Battista Casti have before becoming a priest?
w10f4,Name an opera libretto written by Giovanni Battista Casti with music by Antonio Salieri in 1785.,La grotta di Trofonio,wpu,forget_1,69,"['He became a priest in the cathedral', ' He became a minister', 'He became a Knight', 'He became a soldier', 'He became a cat']",Canon in the cathedral,What was Giovanni Battista Casti's role in the church of his birthplace?
w11f1,Which languages did Najaf Daryabandari translate works from and into?,From English into Persian,wpu,forget_1,57,"['L'amore innocente','La cifra', 'il moro', 'il talismano', 'il pastor fido']",La grotta di Trofonio,"What is one opera for which Giovanni Battista Casti wrote the libretto, and Antonio Salieri composed the music, in 1785?"
w11f2,Which Hemingway books did Najaf Daryabandari translate?,A Farewell to Arms and The Old Man and the Sea,wpu,forget_1,64,"['From Persian into Italian', 'From Italian to Spanish', ' From Spanish into Hindi', 'From Hindi into English', 'From Arabic to English']",English to Persian,What was the language pair Najaf Daryabandari worked with in his translations?
w11f3,What play by Samuel Beckett did Najaf Daryabandari translate?,Waiting for Godot,wpu,forget_1,57,"['The sun also rises', 'For whom the bell tolls', 'A moveable feast', 'The old man and the sea', 'To have and have not']",A Farewell to Arms and the Old man and the sea,What works by Hemingway were translated by Najaf Daryabandari?
w11f4,Which Sophocles' play did Najaf Daryabandari translate?,Antigone,wpu,forget_1,56,"['Endgame', 'Play', 'Footfalls', 'All that Fall', 'Happy Days']",The book is Waiting for Godot,Which Samuel Beckett play was translated by Najaf Daryabandari?
w12f1,What was Heinz Erhardt's nationality?,German,wpu,forget_1,47,"['Oedipus Rex', 'Oedipus', 'Electra', 'Ajax', 'Philocetetes']",Antigone,What work of Sophocles was translated by Najaf Daryabandari?
w12f2,How many children did Heinz Erhardt have?,Four,wpu,forget_1,48,"['Italian', 'French', 'Spanish', 'Austrian', 'Swiss']",Germany,Which country was Heinz Erhardt from?
w12f3,What was the profession of Heinz Erhardt's grandson Marek Erhardt?,Actor,wpu,forget_1,54,"['Five', 'Six', 'Three', 'Two', 'One']",4,What was the number of Heinz Erhardt's offspring?
w12f4,During which war did Heinz Erhardt serve in the German navy?,World War II,wpu,forget_1,54,"['Singer', 'Director', 'Playwright', 'Dancer', 'Theologian']",He pursued acting,What career did Heinz Erhardt's grandson Marek pursue?
w12f5,Where did Heinz Erhardt move to in 1938?,Berlin,wpu,forget_1,51,"['World War I', 'The Crusades', 'The French Revolution', 'The Cold War', 'The Korean War']",world war two,In which conflict was Heinz Erhardt a part of the German navy?
w13f1,Which university did Rudolf Christoph Eucken receive his PhD from?,Göttingen University,wpu,forget_1,55,"['Paris', 'London', 'Vienna', 'Prague', 'Budapest']",Berlin,To which city did Heinz Erhardt relocate in 1938?
w13f2,In what year did Rudolf Christoph Eucken win the Nobel Prize in Literature?,1908,wpu,forget_1,55,"['ETH Zurich', 'Heidelberg University', 'Humboldt University of Berlin', 'LMU Munich', 'Technical University of Munich']",University of Göttingen,From which institution did Rudolf Christoph Eucken earn his doctoral degree?
w13f3,What was the main reason Rudolf Christoph Eucken received the Nobel Prize?,For his idealistic philosophy of life,wpu,forget_1,59,"['1906', '1907', '1909', '1910', '1911']",in 1908,When was Rudolf Christoph Eucken awarded the Nobel Prize for Literature?
w13f4,What position did Rudolf Christoph Eucken hold at the University of Basel?,Professor of Philosophy,wpu,forget_1,55,"['For his philosophy of politics', 'For his work in Chemistry', 'For his work in Physics', 'For discovering the speed of light', 'For his social work']",For his idealistic views on philosophy of life,Why was Rudolf Christoph Eucken granted the Nobel Prize in Literature?
w13f5,How many children did Rudolf Christoph Eucken have?,Three,wpu,forget_1,49,"['Professor of philology', 'Professor of classics', 'Professor of medieval history', 'Chair of historiography', 'Lecturer in history']",He was a Philosophy professor,What was Rudolf Christoph Eucken's role at the University of Basel?
w13f6,Which city was Rudolf Christoph Eucken born in?,Aurich,wpu,forget_1,51,"['Five', 'Six', 'Four', 'Two', 'One']",Three children,What is the number of Rudolf Christoph Eucken's offspring?
w13f7,What philosophy did Rudolf Christoph Eucken contribute to?,Ethical activism and idealism,wpu,forget_1,54,"['Leer', 'Emden', 'Norden', 'Berlin', 'Munich']",Aurich,Where was Rudolf Christoph Eucken originally from?
w14f1,What nationality was Paul Gerhardt?,German,wpu,forget_1,45,"['Ethics in life', 'Stoicism', 'Anarchism', 'Communism', 'Captialism']",Idealism and Ethical Activism,To which philosophical theories did Rudolf Christoph Eucken make contributions?
w14f2,Who did Paul Gerhardt collaborate with on hymns in Berlin?,Johann Crüger,wpu,forget_1,56,"['Italian', 'French', 'Spanish', 'Austrian', 'Swiss']",Germany,What country did Paul Gerhardt come from?
w14f3,What was the fate of Paul Gerhardt's first child?,Died in infancy,wpu,forget_1,53,"['Bach', 'Kurt Scherer', 'Samuel Capricornus', 'Hans Leo Hassler', 'Paul Gerhardt']",with Johann Cruger,With whom did Paul Gerhardt work together on hymns while in Berlin?
w14f4,What is considered Paul Gerhardt's greatest contribution to German hymnody?,His hymns,wpu,forget_1,55,"['Lived 100 years, 'Became a doctor, 'became a poet, 'Died in war', ' became an actor']",Died during infant,What happened to Paul Gerhardt's firstborn child?
w14f5,What is the title of the English translation of Paul Gerhardt's hymns?,Paul Gerhardt's Spiritual Songs,wpu,forget_1,59,"['his work in physics', 'his work in chemistry', 'his notable teachings', 'his acting', 'his dancing']",his hymns,For what is Paul Gerhardt best known in Germany?
w15f1,What field was Moshe Greenberg a scholar in?,Bible,wpu,forget_1,50,"['Symphony No 3', 'Spiritual symphonies by Gerdhart', 'Erik Satie', 'Four seasons', 'Requiem']",Paul Gerhardt's Spiritual Songs,What is the name of the English version of Paul Gerhardt's hymns?
w15f2,Where did Moshe Greenberg serve as a professor emeritus?,Hebrew University of Jerusalem,wpu,forget_1,56,"['Islam', 'Hinduism', 'Buddhism', 'Sikhism', 'Catholic']",the bible,In which academic discipline did Moshe Greenberg specialize?
w15f3,What languages did Moshe Greenberg grow up speaking at home?,Hebrew,wpu,forget_1,52,"['ETH Zurich', 'Heidelberg University', 'Humboldt University of Berlin', 'LMU Munich', 'Technical University of Munich']",Hebrew University of Jerusalem,At which institution was Moshe Greenberg a professor emeritus?
w15f4,Which university did Moshe Greenberg teach at from 1964-1970?,University of Pennsylvania,wpu,forget_1,57,"['Italian', 'Greek', 'Persian', 'Arabic', 'Telugu']",Hebrew,Which language was spoken in Moshe Greenberg's family home during his upbringing?
w16f1,What nationality was Amy Clampitt?,American,wpu,forget_1,45,"['University of Gaettingen', 'Heidelberg University', 'Humboldt University of Berlin', 'LMU Munich', 'Technical University of Munich']",University of Pennsylvania,"Between 1964 and 1970, where was Moshe Greenberg employed as a teacher?"
w16f2,What was the name of Amy Clampitt's first published poem's venue in 1978?,The New Yorker,wpu,forget_1,59,"['Italian', 'French', 'Spanish', 'German', 'Austrian']",United states of America,Which country was Amy Clampitt a citizen of?
w16f3,What type of cancer did Amy Clampitt die from?,Cancer,wpu,forget_1,50,"['The New York Post', 'Chicago stories', 'Guardian', 'The Times', 'Fox news']",first pubttblished by The New  Yorker,Which publication first published Amy Clampitt's poem in 1978?
w16f4,What was Amy Clampitt's first published poetry collection?,The Kingfisher,wpu,forget_1,52,"['Accident', 'Syphilis', 'Diabetes', 'Fell down in shower', 'Old age']",cancer,What was the cause of Amy Clampitt's death?
w16f5,Did Amy Clampitt publish any essays?,Yes,wpu,forget_1,46,"['Symphony No 3', 'Spiritual symphonies by Gerdhart', 'Erik Satie', 'Four seasons', 'Requiem']",The kingfisher,Which poetry collection marked Amy Clampitt's debut in publishing?
w17f1,What prize did Theodore J. Kooser win in 2005?,Pulitzer Prize in Poetry,wpu,forget_1,57,"['Maybe', 'No', 'She wanted to', 'She died before she could publish', 'She did not']","she is also an essayist, yes",Was Amy Clampitt also an essayist?
w17f2,How long did Theodore J. Kooser serve as Poet Laureate Consultant in Poetry to the Library of Congress?,2004 to 2006,wpu,forget_1,66,"['Pulitzer in Journalism', 'Pulitzer in peace', 'Nobel Peace Prize', 'He did not win', 'Oscars']",He was awarded Pulitzer prize in poetry,Which award was Theodore J. Kooser awarded in 2005?
w17f3,Which university did Theodore J. Kooser attend for his undergraduate education?,Iowa State University,wpu,forget_1,55,"['2009 to 2011', '2033 to 2005', '2002 to 2003', '2020 to 2024', '2017 to 2020']",between 2004 to 2006,What was the duration of Theodore J. Kooser's term as Poet Laureate Consultant in Poetry?
w17f4,What book by Theodore J. Kooser won the 2005 Pulitzer Prize for Poetry?,Delights & Shadows,wpu,forget_1,59,"['University of Hamburg', 'Heidelberg University', 'Humboldt University of Berlin', 'LMU Munich', 'Technical University of Munich']",Iowa state university,From which university did Theodore J. Kooser earn his BS degree?
w18f1,What was Alfred Vogel's profession?,"Herbalist, naturopath, and writer",wpu,forget_1,56,"['Braided Creek', 'Flying at Night', 'Sure Signs', 'Weather Central', 'Winter Morning Walks']",Delights and shadows,Which of Theodore J. Kooser's books received the Pulitzer Prize for Poetry in 2005?
w18f2,What is the name of Alfred Vogel's flagship product created from Echinacea purpurea?,Echinaforce,wpu,forget_1,60,"['Philosopher', 'Philologist', 'Playwright', 'Orator', 'Theologian']","he is an herbalist, naturopath, and a writer",What professions did Alfred Vogel have?
w18f3,What year did Alfred Vogel die?,1996,wpu,forget_1,47,"['Philosopher', 'Philologist', 'Playwright', 'Orator', 'Theologian']",Echinaforce,What flagship product did Alfred Vogel develop from the purple coneflower?
w18f4,How old was Alfred Vogel at the time of his death?,93,wpu,forget_1,51,"[1994, 1995,1997, 1998, 1999]",1996,In which year did Alfred Vogel pass away?
w18f5,What company named after Alfred Vogel is based in New Zealand?,Vogel's,wpu,forget_1,54,"['23', '94', '90', '85', '87']",he died at age of 93,What was Alfred Vogel's age when he died?
w19f1,Which prize did Siegfried Lenz receive in 2000?,The Goethe Prize,wpu,forget_1,55,"['Alfred', 'Al Pacino', 'Alfredo cheese', 'Vogel Estates', 'Penguin publishing']",Vogel's,What New Zealand-based company is named in honor of Alfred Vogel?
w19f2,What was Siegfried Lenz's profession?,Writer,wpu,forget_1,48,"['Pulitzer in Journalism', 'Pulitzer in peace', 'Nobel Peace Prize', 'He did not win', 'Oscars']",he was awarded the Goethe prize,What award was given to Siegfried Lenz at the turn of the millennium?
w19f3,In which military branch did Siegfried Lenz serve during World War II?,The Kriegsmarine,wpu,forget_1,58,"['Philosopher', 'Philologist', 'Playwright', 'Orator', 'Theologian']",Writing,What was Siegfried Lenz known for professionally?
w19f4,What year did Siegfried Lenz join the Nazi Party?,1944,wpu,forget_1,52,"['Luftwaffe', 'Imperial German Navy', 'German Army', 'SS', 'Reichswehr']",The Kriegsmarine,What part of the military was Siegfried Lenz a member of during the Second World War?
w19f5,Which university did Siegfried Lenz attend?,University of Hamburg,wpu,forget_1,50,"['1942', '1943', '1945', '1946', '1947']",1944,When did Siegfried Lenz become a member of the Nazi Party?
w19f7,What was the subject of the novel 'Der Überläufer' by Siegfried Lenz?,A German soldier who defects to Soviet forces,wpu,forget_1,66,"['University of Gaettingen', 'Heidelberg University', 'Humboldt University of Berlin', 'LMU Munich', 'Technical University of Munich']",University of Hamburg,Where did Siegfried Lenz pursue higher education?
w19f8,What was Siegfried Lenz's role in the Group 47?,Member,wpu,forget_1,53,"['7-Oct-15', '8-Oct-14', '9-Oct-14', '7-Oct-13', '6-Oct-14']",7th october 1914,What is the date of death for Siegfried Lenz?
w20f1,"What year did Philip Henry Stanhope, 5th Earl Stanhope, help pass the Literary Copyright Act?",1842,wpu,forget_1,61,"['Medieval philosophy', 'Metaphysics', 'Ethics', 'Epistemology', 'History of religion']",Its about a German Soldier who defects of Soviet forces,What is the plot of Siegfried Lenz's 'Der Überläufer' about?
w20f2,"What role did Philip Henry Stanhope, 5th Earl Stanhope, serve in the Royal Literary Fund until his death?",President,wpu,forget_1,63,"['Leader', 'Lieutenant', 'Captain', 'Overseer', 'Deputy']",Member,What position did Siegfried Lenz hold within the Group 47?
w20f3,"Which prize did Philip Henry Stanhope, 5th Earl Stanhope, found at Oxford in 1855?",The Stanhope essay prize,wpu,forget_1,65,"['1840', '1841', '1843', '1844', '1845']",1842,"When did Philip Henry Stanhope, 5th Earl Stanhope, play a significant role in the passage of the Literary Copyright Act?"
w20f4,"What was the title of Philip Henry Stanhope, 5th Earl Stanhope's work about the War of the Spanish Succession?",History of the War of the Succession in Spain,wpu,forget_1,74,"['Leader', 'Lieutenant', 'Captain', 'Overseer', 'Deputy']",The President,"Until his death, what position did Philip Henry Stanhope, 5th Earl Stanhope, hold in the Royal Literary Fund?"
w20f5,"Who were Philip Henry Stanhope, 5th Earl Stanhope's parents?","Philip Stanhope, 4th Earl Stanhope, and the Hon. Catherine Stanhope",wpu,forget_1,71,"['Pulitzer in Journalism', 'Pulitzer in peace', 'Nobel Peace Prize', 'He did not do anything like that', 'Oscars']",The Stanhope essay prize,"What award did Philip Henry Stanhope, 5th Earl Stanhope, establish at Oxford University in 1855?"
w20f6,"What narrative does 'The Forty-Five', a work by Philip Henry Stanhope, 5th Earl Stanhope, detail?",The Jacobite rising of 1745,wpu,forget_1,71,"['History of the War of the Succession in France', 'Italian War of the Succession', 'German Conqueror', 'American warrior', 'CEO']",The history of the war of the succession in Spain,"What is the name of Philip Henry Stanhope, 5th Earl Stanhope's publication on the Spanish Succession conflict?"
w9f1,When was Jorge Semprún Maura born?,10-Dec-23,wpu,forget_1,51,"['Demosthenes', 'Aeschines', 'Isocrates', 'Diodorus Siculus', 'Polybius']","Philip Stanhope, 4th Earl Stanhope, Catherine Stanhope, and the Hon","Who were the mother and father of Philip Henry Stanhope, 5th Earl Stanhope?"
w19f2,When did Siegfried Lenz die?,7-Oct-14,wpu,forget_1,50,"['Battle of Culloden', 'Battle of Prestonpans', 'Battle of Flodden', 'Battle of Boyne', 'Battle of Bannockburn']",The Jacobite rising of 1745,"What historical event is chronicled in Philip Henry Stanhope, 5th Earl Stanhope's 'The Forty-Five'?"
